"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Jason Day",11400,"Golf@Golf 05:00AM ET",92.000,"Golf"
"G","Hideki Matsuyama",11200,"Golf@Golf 05:00AM ET",113.667,"Golf"
"G","Dustin Johnson",11100,"Golf@Golf 05:00AM ET",107.833,"Golf"
"G","Justin Rose",10200,"Golf@Golf 05:00AM ET",65.167,"Golf"
"G","Phil Mickelson",10000,"Golf@Golf 05:00AM ET",87.000,"Golf"
"G","Brooks Koepka",9900,"Golf@Golf 05:00AM ET",73.000,"Golf"
"G","Rickie Fowler",9700,"Golf@Golf 05:00AM ET",91.000,"Golf"
"G","Paul Casey",9600,"Golf@Golf 05:00AM ET",50.750,"Golf"
"G","Brandt Snedeker",9500,"Golf@Golf 05:00AM ET",68.667,"Golf"
"G","Jimmy Walker",9400,"Golf@Golf 05:00AM ET",72.500,"Golf"
"G","Louis Oosthuizen",9300,"Golf@Golf 05:00AM ET",88.000,"Golf"
"G","Jon Rahm",9200,"Golf@Golf 05:00AM ET",84.000,"Golf"
"G","Shane Lowry",9000,"Golf@Golf 05:00AM ET",0,"Golf"
"G","Daniel Berger",8800,"Golf@Golf 05:00AM ET",83.000,"Golf"
"G","Gary Woodland",8600,"Golf@Golf 05:00AM ET",110.500,"Golf"
"G","Marc Leishman",8500,"Golf@Golf 05:00AM ET",79.000,"Golf"
"G","Byeong-Hun An",8400,"Golf@Golf 05:00AM ET",87.500,"Golf"
"G","Emiliano Grillo",8300,"Golf@Golf 05:00AM ET",53.750,"Golf"
"G","J.B. Holmes",8200,"Golf@Golf 05:00AM ET",91.000,"Golf"
"G","Francesco Molinari",8100,"Golf@Golf 05:00AM ET",90.500,"Golf"
"G","Brendan Steele",8000,"Golf@Golf 05:00AM ET",100.000,"Golf"
"G","Tiger Woods",7900,"Golf@Golf 05:00AM ET",97.000,"Golf"
"G","Charley Hoffman",7800,"Golf@Golf 05:00AM ET",69.000,"Golf"
"G","Billy Horschel",7800,"Golf@Golf 05:00AM ET",61.500,"Golf"
